"cmplnt_apr",""
"24010102","北京,河北省,怀来县,大古城村"
"SDZ030208","大兴"
"24010204",""
"12030403","华远铭悦小区"
"11030101",""
"11010206",""
"24010102","北京"
"12040102",""
"11010206",""
"12040102",""
"11010206",""
"11010205",""
"11030201","北京,北京"
"SDZ030208",""
"12030401",""
"110505",""
"SDZ030208",""
"12040205",""
"11010206",""
"11010206",""
"11030104","河北省,沧州市,任丘市,河北省,沧州市,任丘市,渤海东路宏泰小区1号楼2单元219室"
"12030401",""
"11030108","河北省,唐山市,曹妃甸区,冀东油田南区,兴海名都广场"
"11030104","河北,张家口市,桥东区,长城大街,市府大楼"
"11030108","河北,邯郸市,肥乡县,肥乡镇,高庄村542号"
"11030201",""
"12030401","新华大街营业厅"
"110304",""
"110304",""
"2302",""
"24010102","北京,湖南省,长沙市,万家丽地铁旁,宽寓大厦31层2108"
"11010206",""
"11010206",""
"11010206",""
"170303",""
"11010206",""
"2305","上海市,浦东新区,上海市,浦东新区,浦东新区,蓝天路,碧云风情街,碧云钻石酒店公寓1期"
"SDZ030208",""
"11010102","河北省,邢台市,郝桥镇,吴村98号"
"24010102","北京"
"11010214",""
"24010204",""
"2305","河北省,邯郸市,邯郸县,邯郸县,西环路,渣线桥,邯武大桥"
"11010206",""
"24010103","信元西单003,xyxd003)"
"130106",""
"12030301","奥运洋桥"
"2305","北京市,朝阳区,北京市,朝阳区,朝阳区,团结湖北四条,生活良品团结湖店,团结湖街道,团结湖三四条南小区"
"110514","北京,北京市,西城区,南滨河路27号,院源屋曲4号楼3单元"
"12040205",""
"SDZ030208",""
"110704",""
"2305","河北省,唐山市,河北省,唐山市,滦县,河北省,唐山市,河北省,唐山市,滦县"
"20030301",""
"11010203",""
"11010208","吉林"
"12030401","苏家坨三期-,奥运洋桥,862"
"11010206",""
"11010206",""
"240404","东坝营业厅"
"11010214",""
"11010206",""
"110105",""
"11010402",""
"SDZ030208",""
"11010206",""
"110504",""
"11010206",""
"12030401",""
"2305","重庆市,成渝高速公路"
"11030201","北京"
"SDZ030208","崇文门合作营业厅,崇文门合作营业厅"
"2305","四川省,成都市,四川省,成都市,成都市,益园三路,维用科技大厦(,成都)"
"12030404",""
"24010102",""
"130207",""
"12030401","四惠大厦1层1012"
"11010102","西红门嘉悦广场2号楼1106号"
"11010102","西红门嘉悦广场2号楼1106号"
"240502",""
"11010214",""
"130505",""
"12030304","丰台区,蒲黄榆三里1号楼"
"12010101","昌平区,随园小区11号楼"
"12040202",""
"130504","丰融国际中心北翼12层1201室"
"12010601",""
"11010206",""
"24010102",""
"11010206","亦庄天宝园合作营业厅（,亦庄天宝园合作营业厅（,华信通）"
"130208",""
"SDZ030208","大兴兴丰大街合作营业厅,大红门服装批发市场,大兴兴丰大街合作营业厅"
"12030401","恒富家园a座606,莲花桥营业厅"
"12040202",""
"12030403","西城区,小红庙南里5号小区"
"11010103",""
"130303",""
"11010101",""
"240402","家园,朝阳北路营业厅,朝阳北路营业厅"
"130102",""
"170205","北京"
"12040205","信元西单002,40"
"240402","小街桥营业厅"
"12010601",""
"11010214","北京"
"SDZ030208",""
"SDZ030208",""
"12030401","北京市,密云县,蔡家洼小区"
"SDZ030208",""
"110514",""
"11010207",""
"11010205",""
"SDZ030208",""
"12030401",""
"130301",""
"110514",""
"SDZ030208","世代百货合作营业厅,新世纪硅谷）"
"SDZ030208","55"
"12040102",""
"1801080203","房山区,长阳镇,悦都新苑1区8号楼3单元1101室"
"110702","北京市"
"12040205",""
"12030206",""
"110503",""
"110514",""
"12040202",""
"12030206",""
"11010102","北京市,朝阳区,酒仙桥梵谷水郡1号楼1604号"
"11010214",""
"11010206",""
"130504",""
"SDZ030208",""
"12040103",""
"110510",""
"12030206",""
"110514","密云县,北庄镇,朱家湾村"
"12030401","沁园春景二期,奥运洋桥"
"12030206",""
"12030404",""
"170205",""
"11010102","北京,北京市,昌平区,昌平县城,永安电脑城"
"11030201",""
"11010103",""
"110514",""
"1801020601","城关南大街合作营业厅"
"110514","通州区,东果园52号楼"
"11030201",""
"130501",""
"110505",""
"11010214","科丰桥营业厅"
"12040202",""
"11010206",""
"12030202",""
"11010103","江西,北京市,丰台区,草桥东路"
"1801080203",""
"12040202",""
"12030401","北京,大兴区,亦庄小康东里11-2-"
"11010206",""
"11010214",""
"130501",""
"130505",""
"110504","大成路营业厅"
"12040103",""
"12030301",""
"240403","北京"
"110514","三亚,海南省,三亚市"
"11080601",""
"11010203",""
"240401","大郊亭营业厅"
"11010206","海南"
"12040103",""
"11030201",""
"11030201",""
"11010214","北京"
"11010101","北京,海淀区,永丰路299号,中国银行信息中心综合办公楼1层"
"11010204","海淀,北蜂窝路合作厅"
"11030201","西单营业厅"
"12030302","爱普益生物科技园区-,华为（东四）(ngn)"
"11010302",""
"12030402",""
"240503","京津冀,京津冀,京津冀"
"11010402","中国"
"11010206",""
"110514",""
"12040205",""
"SDZ030208","北京"
"110105","北京"
"11010214",""
"17010401",""
"240404","大兴共用号池,黄村桥农贸市场,奥运洋桥"
"110511",""
"11030106","北京,大兴区,亦庄经济技术开发区,北京,大兴区,亦庄经济技术开发区,北京,大兴区,亦庄经济技术开发区"
"12040202",""
"240403","北方明珠,北方明珠大厦"
"12010601","天津,北京,三元桥"
"130203",""
"130505","东方郁金香大厦(ngn)59919328"
"11010214",""
"130207",""
"SDZ030208","怀柔商业街东口合作厅"
"11010101","宣武门外大街甲1号,环球财讯中心a座1418,宣武门西大街57号"
"240403","北京,北京"
"12040104","中海高尔夫花园123-105室,北京,朝阳区,中海高尔夫花园东区123楼,北京,北京市,朝阳区\,高碑店路181号,中海安德鲁斯123号楼125号楼126号楼127号楼"
"11010206",""
"11010302",""
"11010203","丰台,西客站北广场专区"
"130208","西单营业厅"
"SDZ030208","西单,中关村"
"11010214","北京,北京,北京"
"12030206",""
"12030405",""
"12040204","尚峰尚水,奥运洋桥,海淀区,尚峰尚水二期,信元订单组营业厅,信元西单003"
"24010102","北京"
"11010214",""
"11020701",""
"110105","北京"
"12030401",""
"11010206",""
"11010214","亚运村营业厅"
"110503","四川省,北京,建国门,四川"
"12030401","望京soho,奥运洋桥ngn"
"SDZ030208",""
"110514","典凯旋城"
"130207",""
"12040104","中海高尔夫花园123-105室,北京,朝阳区,中海高尔夫花园东区123楼,北京,北京市,朝阳区\,高碑店路181号,中海安德鲁斯123号楼125号楼126号楼127号楼"
"130504","广渠门小区"
"11030201",""
"130207",""
"12030205",""
"11010103",""
"11010103",""
"130207",""
"130103","北京"
"11010203",""
"17030102",""
"130207",""
"110702",""
"11010214",""
"11010214","星球通欢乐谷乐购合作厅"
"12030302",""
"11010206",""
"11010214",""
"11010214",""
"11010206",""
"12040202",""
"11010203",""
"11010101",""
"110502",""
"110503","绵阳,北京,西城区"
"11010206","津冀,河北"
"170205",""
"17110237",""
"12030206",""
"12040205","北京,北京市,通州区,台湖镇科创十三街18号院,锋创科技园\,锋创科技发展(北京）有限公司1号楼\"
"160101","北京市,密云县,北京市,密云县,北京市,密云县"
"130201",""
"12040205",""
"12030404",""
"SDZ030208",""
"11010214",""
"1801020601",""
"240604",""
"SDZ030208","北京亿派创新科技发展有限公司牛街合作营业厅"
"SDZ030208","迪信通马家堡店专项厅"
"11010206","北京"
"110503","亚运村营业厅"
"11010301",""
"12040205",""
"11010204",""
"12030404",""
"12030404",""
"11010214",""
"11010202",""
"11010206",""
"SDZ030208","丰台西站南路合作厅"
"11010206","南皋村车站合作营业厅（"
"110514",""
"110105",""
"12040205",""
"12030206",""
"11010402",""
"11010203",""
"SDZ030208",""
"12030206",""
"11010206","新兴桥西合作营业厅（"
"110503",""
"12030206",""
"110514",""
"12030206",""
"12030301",""
"110503",""
"11010206",""
"11010214","北京"
"12030302",""
"12040205",""
"SDZ030208","昌平西环路合作营业厅"
"11010101","北京,通州区,张家湾镇,贾各庄村"
"24010103",""
"130504",""
"11010214",""
"11010214",""
"SDZ030208",""
"12030403","连心园新3原5号楼5单元101"
"11010214",""
"11010206",""
"11010206",""
"11040101","北京"
"11030207",""
"11010214",""
"11010206",""
"11030301","北京"
"130504",""
"12040203","康城综合楼北楼"
"12040203","康城综合楼北楼5021"
"12040203","康城综合楼"
"12040203","康城综合楼"
"11020701",""
"11010214",""
"11010206",""
"11010102",""
"11010101","北京"
"12030401","朝阳区,富力城a9-商业1号"
"11010206",""
"12030202",""
"SDZ030208","良乡,西潞大街合作营业厅"
"24010102","信元北太"
"110514",""
"11010102","北京市,海淀区,学清路城华园大厦2栋208室"
"240403",""
"110504",""
"130301","北京"
"11010203",""
"11010214","四维通联沙河合作厅"
"130103","北京市,西三环北路11号,海通时代商务中心c1座"
"24010102",""
"SDZ030208",""
"SDZ030208",""
"24010102",""
"11010206",""
"11010214",""
"SDZ030208","迪信通双井店专项厅"
"110514",""
"SDZ030208",""
"SDZ030208",""
"SDZ030208",""
"11010204",""
"SDZ030208",""
"11030201",""
"11010204",""
"11010204",""
"12030206","天通苑龙德营业厅"
"11010214",""
"SDZ030208","良乡,西潞大街合作营业厅（"
"17110101",""
"12040205",""
"24010102",""
"11010103",""
"SDZ030208","杜家坎南路"
"12030401",""
"SDZ030208",""
"11010206",""
"11010206",""
"11010206",""
"11010206",""
"11010206",""
"11010206",""
"11010206",""
"11010206",""
"12040205",""
"110105","广安,北京市,海定区,小营东路15号"
"SDZ030208","岳各庄天隆商场合作营业厅（"
"130301","庄胜北办公楼东翼829"
"11010203",""
"11010214",""
"11010206","西三环店专项厅"
"12040204",""
"11010214",""
"SDZ030208",""
"110105","广安,北京,海淀区,西三旗街道,小营东路15号"
"110105","广安,北京,海淀区,西三旗街道,小营东路15号"
"110801",""
"11010214",""
"11010207",""
"SDZ030208",""
"11010214","海淀,圆明园东门专区"
"11010203",""
"SDZ030208","英辉世纪通州周营中街合作营业厅,英辉世纪通州周营中街合作营业厅"
"11010214","海淀,圆明园东门专区"
"12030401",""
"24010102",""
"11010203","东高地万源天翼专区（,新世纪硅谷）"
"110514",""
"110105","广安,北京市,海定区,小营东路15号"
"SDZ030208",""
"170205",""
"11010103",""
"240604","北京,北京"
"11010103",""
"11010214",""
"130207",""
"170205",""
"110801",""
"12010101",""
"SDZ030208",""
"240604","广西,桂林"
"11010203","苏宁"
"11010203","西三环店专项厅"
"110514",""
"11010103",""
"110105","北京"
"11010214",""
"12030206","天通苑营业厅"
"11010101","北京,房山区,大石窝镇,辛庄村"
"11010214",""
"11010214",""
"SDZ030208",""
"SDZ030208",""
"170205",""
"12030403",""
"11030101","长春市,净月经济开发区,净月大街,月天德天泽大路,远洋戛纳小镇"
"SDZ030208",""
"11010206",""
"12030205","西单营业厅"
"24010103",""
"11010203",""
"12040202","永安里营业厅"
"12030401","北京市,朝阳区,芳菁苑6号楼605"
"11010103",""
"130805",""
"SDZ030208","顺义,后沙峪双峪小区,华观美食城"
"12040202",""
"12040202",""
"SDZ030208",""
"11010214",""
"110510","朝阳北路营业厅"
"170205",""
"12030401","北京,北京市,通州,永顺镇,玉带河西街\,帅府园40号楼2单元\"
"11010206",""
"SDZ030208",""
"130102",""
"11010214",""
"SDZ030208",""
"24010102",""
"11030201","北京"
"11010214",""
"12040205",""
"11010207",""
"11010206",""
"11030201",""
"11030201","北京"
"12040104","北京,北京市,通州,永顺镇,京榆旧线,潞苑南大街500号院古韵新居3号楼3单元"
"11030101","北京市,海淀区,西翠路路17号,北京市,海淀区,西翠路17号院19号楼2单元801室,海淀区,县西翠路号小区（大厦）"
"24020102",""
"12040103","美丽园,网小区"
"12030401","熙兆大厦,奥运洋桥"
"110503",""
"12030401","北京市,朝阳区,uhn国际村1号楼2单元803,国际村"
"11010101","广西壮族自治区,南宁市,横县,横县,六景大桥,官山村"
"11010101","北京,北京市,大兴区,旧宫云龙家园北门万园菜市场"
"11010101","北京,西城区"
"110803","泰国,泰国"
"130606","三元桥营业厅"
"11030102","北京市,通州区,半壁店大街25号,大方居326楼3单元,路号,县路号小区（大厦）号"
"12040205",""
"12040103","北京,北京市,通州区,梨园镇,翠屏北里西区18苏荷雅居/,苏荷时代18号楼3单元"
"11010207",""
"12030206",""
"2305","上海市,上海市,上海市,虹口区,虹口区,周家嘴路,君岸商务楼,岳洋大厦,香港丽园,香港丽园北门"
"12030401","朝阳"
"240404","水北街营业厅"
"SDZ030208",""
"110514",""
"240503",""
"SDZ030208",""
"240404","水北街营业厅"
"11010206",""
"SDZ030208",""
"11010202","杜家坎营业厅"
"110105","北京,北京"
"170205",""
"12030205",""
"SDZ030208","草桥合作厅"
"240604","上地环岛,嘉华大厦一层"
"110503","四川省,成都市,北京,西城区,马连道营业厅"
"12030106","北京市,朝阳区soho现代城a座2105室,朝阳区,soho现代城a,朝阳区,soho现代城a座2105室,朝阳区,大望路soho现代城号小区"
"12040202",""
"11010101","北京,北京市,海淀区"
"12030401","橙色年代2号楼1602室"
"11010102",""
"110514",""
"110514",""
"11010201",""
"12030402",""
"12040203",""
"12030401","北京,北京市,丰台区\,樊羊路69号院亿城天筑13号楼1单元\,信元订单组营业厅"
"24010102",""
"SDZ030208","永泰地铁站,清河永泰园营业厅0"
"11010102","北京,北京市,大兴区,太和桥"
"SDZ030208",""
"110514",""
"110514",""
"12040202","凉水河新村,奥运洋桥ngn"
"12040103","北京,北京市,大兴区,瀛海镇,瀛坤路\,瀛海家园\,永旭嘉园4号楼2单元"
"11010214",""
"SDZ030208",""
"240604","北京,广西,广东"
"SDZ030208",""
"110514","北京,北京"
"SDZ030208",""
"12030302",""
"11010403",""
"11010403",""
"110514",""
"11010108","北京,北京,北京"
"12040103",""
"11010214",""
"1802080202","北京电信网上营业厅"
"12010601","佰嘉城2期-,奥运洋桥"
"SDZ030208","通州,周营专区"
"11010105",""
"11010101",""
"11010101","北京市,昌平区,回龙观镇,定福皇庄村172号院"
"12030404",""
"110503","四川,德阳市,北京,四川"
"SDZ030208",""
"11010203",""
"11010402",""
"SDZ030208",""
"SDZ030208",""
"11010214",""
"110105","北京"
"130504",""
"SDZ030208",""
"SDZ030208",""
"11010101",""
"11010206",""
"160101",""
"12030103",""
"24010102",""
"11010214",""
"11010102","房山区,长阳镇,长政南街双子座2号楼1705"
"SDZ030208",""
"240604",""
"SDZ030208",""
"240604","北京"
"110514",""
"130201",""
"240604",""
"11010206","苹果专卖店"
"110514",""
"110503",""
"110503",""
"12030206",""
"12030401","北京市,朝阳区,中海安德鲁斯（,中海高尔夫）141-203"
"11010102",""
"110503","上海,北京"
"110514",""
"130204",""
"SDZ030208",""
"12010101","北京市,昌平区,郝庄家园东区1-401"
"12040204",""
"11010101","北京,百荣世贸商城2期童装2层"
"SDZ030208",""
"11040101",""
"240404","北京,大山子营业厅"
"SDZ030208",""
"11010206",""
"11010206","北京"
"SDZ030208","石景山古城电影院合作厅"
"SDZ030208","中关村图书大厦合作厅"
"12030401",""
"12040102",""
"12030401","北京,朝阳区,富力又一城a区17号楼2单元602号"
"240404",""
"24010202",""
"11010201",""
"11010102","唐家岭新城"
"12040102",""
"12040102",""
"12030401",""
"12040202",""
"11010207",""
"SDZ030208",""
"SDZ030208","房山,长阳"
"12010601","九棵树营业厅,北京,北京市,通州区,九棵树东路\,葛布店南里2号楼1单元,北京,北京市,通州区\,九棵树东路\,葛布店南里2号楼5单元\"
"110514",""
"12040205",""
"11010206",""
"11010206",""
"11010202",""
"12040203",""
"12030301",""
"130501",""
"130504",""
"160101",""
"11010101",""
"11010214",""
"110514",""
"130501",""
"11010214",""
"11010101","紫芳园5区2号楼4单元"
"11010214",""
"11030201",""
"11010206",""
"SDZ030208","新桥南大街合作厅"
"SDZ030208",""
"SDZ030208","迪信通迪丰木[UNK]园旗舰店专项厅"
"11010214",""
"12030301","常青园南里二区1号wehouse1号楼4单元101"
"11010214",""
"SDZ030208",""
"12030206",""
"110105","北京"
"12040203","国风美仑5号院8号楼1单元1603室"
"12030206","国风美仑5号院8号楼1单元1603室"
"11010214",""
"11010102","北京,北京市,朝阳区"
"24010102",""
"12040102",""
"12040205","望京营业厅,望京营业厅"
"110514","北京"
"11010102","北京市"
"11010101","北京市"
"11010103","北京市"
"12040203","国风美仑5号院8号楼1单元1603室"
"110105","北京,北京"
"11010203",""
"11010101","北京,顺义区,空港科技大厦a座602"
"11010203",""
"SDZ030208","朝阳北路,长新路"
"240604","北京"
"110105","重庆市,万州区,北京市"
"110514",""
"SDZ030208",""
"110105",""
"11010203",""
"11010101","北京市,朝阳区,百子湾桥东大成国际写字楼7楼"
"110105","四川,南充市,北京市,昌平区,西半壁店339号"
"11010203",""
"11010214",""
"11010206","北京,英林镇营业厅,北京"
"110105",""
"110105","北京"
"110105","北京市,北京市"
"110105",""
"11010403",""
"12030206","信元二站"
"110503","北京"
"110105",""
"110503","北京,北京,北京"
"SDZ030208",""
"110105","北京,北京"
"110705","北京,北京"
"11010214",""
"110105","北京,北京,北京,北京,北京,北京,北京,北京,北京,北京"
"110503","北京"
"110105","焦作市,镇江市,南昌市,徐州市,宁波市,北京市,北京,北京市"
"130504","北京"
"11010214",""
"110105","宁波市,北京市,北京市,北京市,北京市,北京市,北京市,北京"
"12040103","北京市,海淀区,西翠路17号,紫金长安10号楼1单元1202号"
"110105","北京,福州,北京"
"11030301","北京"
"11010206","武汉市"
"SDZ030208","昌平,回龙观"
"14020101","恋日绿岛"
"11010214","黑龙江,齐齐哈尔"
"11010214","陕西省,宝鸡市,陕西,宝鸡,陕西"
"240604","北京,北京"
"12040102","漳州市"
"11030301","郑州"
"SDZ030208",""
"11010203",""
"SDZ030208",""
"11030301","苏州,北京,10,北京,北京"
"110105","重庆市,北京市,北京市,北京市,北京市,北京市,北京市,北京市,北京市,北京市,北京市,北京市,北京市"
"11010214","沧州市"
"12030401","望京营业厅"
"11010201","北京市"
"110504","石家庄,石家庄营业厅,北京市,北京市,石家庄"
"11010109","北京市,北京市,北京市,北京市,北京市,北京,东山"
"240604","重庆市,渝中区,北京市,北京市,北京市,北京市,北京市,北京市"
"12040102",""
"12030202",""
"11030301","北京,江苏省"
"240604","北京,北京,北京,北京"
"11010101","上海"
"11010109","北京市"
"110105","北京,北京"
"110105","北京,北京"
"17040102",""
"SDZ030208",""
"12030206",""
"11010206","北京,北京一证五号"
"110503",""
"110105","武平,北京,北京,北京,北京"
"12040202",""
"11010102","北京市,大兴区,西营门"
"24010103",""
"110105",""
"12010601","北京,海淀区,清河橡树湾3期1号楼"
"11010214",""
"11010101","北京市,朝阳区,紫南家园216号楼5单元202室"
"11010206","北京营业厅,深圳市,深圳市,深圳市,广州市,广州市,广州市"
"110503","北京,北京,朝阳"
"17010401",""
"11010102","房山区,长阳镇,建邦华庭西区1号楼1单元"
"SDZ030208",""
"11010102","美吉姆教育中心（,顺义祥云小镇店）,顺义区,安泰大街6号院（,中粮祥云小镇）南区13号楼1层"
"11030301","五号,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,五号"
"110405","北京,北京,陕西,陕西"
"12030404","珠江绿洲"
"240604","北京市,河南,郑州"
"24010201",""
"110105","北京"
"110503","电信营业厅,北京"
"SDZ030208",""
"SDZ030208",""
"SDZ030208",""
"11010206","城厢区,汕尾市,唐山市,大庆市,鼓楼区,赣州市,湘潭市,郴州市,上饶市,宜春市,萍乡市,铜仁市,延安市"
"11010206","城厢区,汕尾市,唐山市,大庆市,鼓楼区,赣州市,湘潭市,郴州市,上饶市,宜春市,萍乡市,铜仁市,延安市"
"11010206","城厢区,汕尾市,唐山市,大庆市,鼓楼区,赣州市,湘潭市,郴州市,上饶市,宜春市,萍乡市,铜仁市,延安市"
"11010206","城厢区,汕尾市,唐山市,大庆市,鼓楼区,赣州市,湘潭市,郴州市,上饶市,宜春市,萍乡市,铜仁市,延安市"
"11010206","城厢区,汕尾市,唐山市,大庆市,鼓楼区,赣州市,湘潭市,郴州市,上饶市,宜春市,萍乡市,铜仁市,延安市"
"11010206","城厢区,汕尾市,唐山市,大庆市,鼓楼区,赣州市,湘潭市,郴州市,上饶市,宜春市,萍乡市,铜仁市,延安市"
"11010206","城厢区,汕尾市,唐山市,大庆市,鼓楼区,赣州市,湘潭市,郴州市,上饶市,宜春市,萍乡市,铜仁市,延安市"
"11010206","城厢区,汕尾市,唐山市,大庆市,鼓楼区,赣州市,湘潭市,郴州市,上饶市,宜春市,萍乡市,铜仁市,延安市"
"SDZ030208","北京星球通五棵松,桥南合作厅"
"SDZ030208",""
"110503","北京"
"11010207","京津冀"
"11010402","绵阳,北京,安徽,北京"
"11010102","北京市,朝阳区,紫南家园216号楼5单元202室"
"SDZ030208","房山"
"11010203",""
"SDZ030208","潘家园,桥东天翼专区（,亿派创新）"
"12010601","晶彩小区"
"11010206",""
"11040101",""
"11040103",""
"11010101","北京市"
"17110306",""
"11010203",""
"11010203",""
"12030401",""
"11040104",""
"11010101",""
"11010204","北京"
"11010101",""
"SDZ030208",""
"SDZ030208","房山）"
"SDZ030208",""
"11010101","北京市"
"240403",""
"110503","上海,上海市,浦东新区,新大陆营业厅,上海,北京,秦皇岛,成都"
"11010206",""
"11010102","海淀"
"11010206",""
"12030401","北京市,西城区\,西直门内南小街1号院,国英园国英1号楼,新街口营业厅"
"12040205",""
"11010206",""
"240401",""
"12030205",""
"11010106","北京市,丰台区,右安门迦南大厦23层"
"11030301","北京,北京,北京,北京"
"12040202",""
"11010206","上海市,上海"
"12010601","北京"
"12030103","东高地,东高地"
"12030206",""
"240604","北京"
"130401",""
"11010203",""
"11010203",""
"12030301","北京"
"12040202",""
"12040203","通州区,马驹桥镇,景盛北一街,晶彩亦庄12号楼2单元1503室"
"12040202",""
"2305",""
"12040204",""
"11010206",""
"12040202",""
"11010206",""
"11010204",""
"11010206",""
"11010203",""
"12030302",""
"11010206",""
"12040205",""
"12040205",""
"11010203",""
"12030207",""
"11010206","广东省,湛江市,广东"
"240402",""
"12040103",""
"SDZ030208",""
"SDZ030208",""
"SDZ030208",""
"11010206",""
"2305","北京"
"12010601",""
"11010206",""
"SDZ030208","北京"
"SDZ030208",""
"130602","北京"
"11030301","苏州,北京,苏州,北京,苏州"
"160101",""
"12040205",""
"12040202",""
"11010104",""
"130103",""
"11010101","北京市"
"11010103",""
"110105","上海,上海市,青浦区,公园路1818号,电信营业厅,上海"
"110510",""
"11010206",""
"11010206",""
"17010102",""
"12040205",""
"11010203",""
"11010203",""
"12030401",""
"170205","北京"
"24010102","北京市,朝阳区,百子湾东里224-8,尤撒洗衣店"
"12040203",""
"110510",""
"11010402",""
"11010103",""
"12040102",""
"12040102",""
"12040102",""
"12040205",""
"12040102",""
"12040102",""
"12040102",""
"130103",""
"SDZ030208",""
"11010206","云南,昆明"
"SDZ030208","右安门合作营业厅"
"SDZ030208",""
"24010102",""
"SDZ030208",""
"SDZ030208","北京"
"12030603","奥运洋桥"
"240402","西单营业厅,房山区"
"110505",""
"1801080203","网厅商城"
"11010206",""
"12030404",""
"12030404","西区政企营业厅"
"11010103",""
"11060201",""
"SDZ030208",""
"SDZ030208",""
"110505",""
"110502",""
"11010206","云南,辽宁,湖南,安徽,海南,海南,海南,山西,上海,云南,山西,云南,辽宁,湖南,安徽,海南,山西,上海"
"11010214","北京"
"110514",""
"11010101",""
"110405",""
"11040101",""
"11040101",""
"11010101","北京市,朝阳区,紫南家园小区216楼5门202室"
"110504","北京"
"110503","北京,北京,北京"
"110511",""
"130103",""
"2302",""
"12030301","奥运洋桥"
"SDZ030208",""
"11010101",""
"11010101","新疆,昌吉市,大西渠海联四季鲜市场b区"
"11010106",""
"11010402",""
"11010203",""
"11010103",""
"110105","广西,南宁,北京,广西,南宁"
"SDZ030208",""
"12040102",""
"SDZ030208",""
"11010206","安康市"
"11010103",""
"11010103",""
"11010103",""
"11010101","北京,朝阳区,工体北路幸福一村西里10号楼4单元202"
"11010203",""
"11010206","上海"
"110503","德胜营业厅"
"110514",""
"11010101","北京,北京市,朝阳区"
"12040204",""
"240604","北京"
"11010205",""
"11010103",""
"11010106",""
"130103",""
"SDZ030208",""
"11010101",""
"11010101",""
"11010102","北京市,朝阳区,金盏乡,高安屯,朝阳循环经济产业园管理中心一层"
"11010403",""
"12030401","北京方向小区4号楼1单元1802室"
"11010403",""
"11040201",""
"SDZ030208","美国"
"130108",""
"SDZ030208",""
"11010101",""
"11010101",""
"110504",""
"11010401",""
"SDZ030208",""
"11010401",""
"110505",""
"110505",""
"110505",""
"11010402","北京"
"160101","北京"
"12040205",""
"11010203",""
"11010403","京津冀,京津冀"
"11010101","北京,通州区"
"11010203",""
"11010206",""
"SDZ030208","黑龙江,大庆,北京,通州"
"1802080202",""
"11010207",""
"24010102",""
"11010207","北京,北京"
"12030401",""
"1801080204",""
"130103",""
"12040105",""
"160101",""
"110105","北京,44"
"12010601",""
"24010102","方家村合作厅[UNK]"
"12040202",""
"110511",""
"11010101","北京市,朝阳区,望京soho塔1a座1709"
